0, 0, 1158.96020508, 1763.03442383, 1019.40606689, 1933.46313477, 1298.60742188
0, 1, 243.804077148, 5910.89355469, 211.311508179, 5911.51855469, 1237.67663574
0, 2, 646.903076172, 2854.66015625, 669.948669434, 2756.35888672, 1554.00402832
1, 0, 1252.11254883, 2199.16064453, 1094.24157715, 2199.81176758, 1274.2845459
1, 6, 524.016723633, 2566.76464844, 465.358551025, 2471.8449707, 1471.60290527
2, 0, 1288.40112305, 2566.04370117, 1082.69067383, 2382.69335938, 1266.05175781
2, 6, 567.136779785, 2955.70117188, 483.623504639, 2955.72900391, 1601.70068359
2, 3, -1137.80432129, 6060.07324219, -1103.9041748, 6059.83056641, 1306.23583984
2, 7, 206.70401001, 5616.45019531, 237.337478638, 5472.96337891, 1245.7043457
3, 2, 628.208374023, 3065.99487305, 575.773376465, 3162.65307617, 1356.65673828
4, 2, 719.373352051, 3167.06054688, 695.725952148, 3269.61572266, 1385.90258789
4, 0, 1082.69824219, 3065.4128418, 1109.97070313, 3065.88256836, 1216.49987793
4, 15, 442.408233643, 19177.3105469, 256.72479248, 19174.7480469, 2103.09472656
5, 0, 1174.07861328, 3484.09936523, 1154.42797852, 3592.1862793, 1311.30126953
5, 15, -479.030273438, 18689.4257813, -476.490753174, 18692.6015625, 2036.74572754
6, 18, 158.968200684, 4289.02001953, -122.874862671, 4791.78710938, 1424.53161621
6, 17, 733.665222168, 4049.17163086, 548.37286377, 3940.49658203, 1263.91784668
6, 20, -1078.17016602, 5197.38671875, -1055.67590332, 5335.95410156, 1236.6953125
6, 0, 1203.13952637, 3813.44897461, 1171.53393555, 3812.45458984, 1261.46337891
7, 18, 221.263900757, 4289.29492188, -152.319152832, 4537.68798828, 1215.8828125
7, 17, 715.798095703, 4290.41992188, 496.25177002, 4173.68505859, 1202.68737793
7, 0, 1203.0592041, 3822.05078125, 1172.94799805, 3814.77392578, 1274.96765137
7, 22, -1036.2701416, 5058.75683594, -1037.25585938, 5058.12402344, 1050.29309082
8, 0, 1272.69946289, 4289.08154297, 1221.10656738, 4054.59179688, 1219.0411377
8, 20, -1052.98779297, 4793.61083984, -1049.93505859, 4800.52001953, 1369.20690918
9, 0, 1272.16040039, 4665.57763672, 1251.51159668, 4787.68945313, 1269.69482422
9, 24, -476.861206055, 18664.8945313, -521.920959473, 17771.9433594, 1455.63317871
10, 0, 1304.27026367, 5057.06787109, 1263.89587402, 4932.96044922, 1129.67358398
10, 25, 181.744003296, 3705.11865234, 151.576583862, 3594.64306641, 1254.37243652
10, 26, -356.811828613, 18671.1523438, -356.551696777, 18678.109375, 1755.12573242
11, 29, -983.719909668, 3815.65917969, -1104.76550293, 3822.17089844, 1326.91760254
11, 18, 202.386001587, 3063.66113281, -24.484167099, 3374.94775391, 1213.99133301
11, 30, -451.93359375, 4049.47729492, -477.506774902, 3937.3059082, 1285.09545898
11, 31, 1285.03295898, 5198.80761719, 1284.93859863, 5193.91650391, 1239.6472168
12, 29, -917.204345703, 3267.98242188, -954.659790039, 3375.83691406, 1345.75744629
12, 33, 232.278411865, 3167.12524414, 207.957427979, 3376.71240234, 1384.42834473
12, 27, 817.36138916, 21827.3691406, 886.333312988, 21811.171875, 1972.91723633
13, 32, 1275.01318359, 5913.20703125, 1307.5625, 5905.30175781, 1251.40075684
13, 29, -847.626525879, 3065.01953125, -881.746398926, 3162.78222656, 1377.73278809
13, 33, 220.29624939, 2473.69262695, 195.146392822, 2470.63037109, 1491.53027344
14, 29, -862.373718262, 2855.32373047, -840.674438477, 2955.25317383, 1482.17260742
14, 18, -495.402252197, 2758.76928711, -527.464782715, 2860.26928711, 1454.45507813
14, 33, 252.417251587, 2661.00488281, 222.073242188, 2565.62451172, 1474.35388184
15, 33, 362.600280762, 1764.53588867, 242.430328369, 2106.57885742, 1585.45922852
16, 29, -450.29296875, 2285.93994141, -233.950027466, 2104.00805664, 1486.15405273
16, 33, 382.302062988, 1597.3125, 379.754577637, 1516.09179688, 1466.85400391
16, 43, -1074.0703125, 2381.89624023, -966.517822266, 2378.26489258, 1405.81689453
17, 43, -1057.96203613, 2192.03857422, -900.037780762, 2193.57788086, 1446.25402832
17, 29, -341.564819336, 2195.81005859, -448.447296143, 2197.9753418, 1375.46740723
17, 33, 383.538238525, 1599.33068848, 311.519836426, 1760.76220703, 1409.3503418
17, 44, 501.67767334, 23014.3867188, 502.96270752, 23037.8535156, 1252.40673828
18, 29, -221.978393555, 1516.69775391, -400.212585449, 1592.87158203, 1454.23193359
18, 43, -1029.16052246, 1846.95263672, -1060.35620117, 2193.85961914, 1426.42077637
18, 33, 343.441741943, 1124.51452637, 221.748092651, 1052.2076416, 1323.07165527
18, 45, 1162.93078613, 7376.98681641, 1153.35070801, 7213.13671875, 1222.58752441
18, 44, 511.892730713, 23630.3554688, 574.834838867, 23645.796875, 1207.51464844
19, 29, -220.548370361, 1356.32897949, -321.175292969, 1432.27966309, 1488.80358887
19, 48, -1010.42474365, 1597.73608398, -1010.59326172, 1600.0625, 1285.14050293
20, 29, -343.980255127, 1355.20812988, -239.702346802, 1126.60876465, 1492.45166016
20, 48, -1035.50537109, 1595.55273438, -1053.06933594, 1517.56188965, 1284.17785645
20, 33, 302.503967285, 482.089996338, 347.704193115, 482.357269287, 1311.43762207
21, 53, 302.659301758, 483.736755371, 349.846832275, 550.39263916, 1295.0657959
21, 29, -332.818450928, 975.654724121, -309.163452148, 975.468933105, 1641.33459473
21, 54, 566.467712402, 23021.2226563, 568.34765625, 23023.0644531, 1368.84423828
